instance,region,sps_cov,if_cov
a1.2xlarge,ap-northeast-1,0.0,0.0
a1.2xlarge,ap-south-1,0.0,0.0
a1.2xlarge,ap-southeast-1,0.0,0.0
a1.2xlarge,ap-southeast-2,0.0,0.0
a1.2xlarge,eu-central-1,0.0,0.0
a1.2xlarge,eu-west-1,0.0,0.0
a1.2xlarge,us-east-1,0.0,0.0
a1.2xlarge,us-east-2,0.0,0.0
a1.2xlarge,us-west-2,0.0,0.0
a1.4xlarge,ap-northeast-1,0.0,0.0
a1.4xlarge,ap-south-1,0.0,0.0
a1.4xlarge,ap-southeast-1,0.0,0.0
a1.4xlarge,ap-southeast-2,0.0,0.0
a1.4xlarge,eu-central-1,0.0,0.0
a1.4xlarge,eu-west-1,0.0,0.0
a1.4xlarge,us-east-1,0.0,0.0
a1.4xlarge,us-east-2,0.0,0.0
a1.4xlarge,us-west-2,0.0,0.0
a1.large,ap-northeast-1,0.0,0.0
a1.large,ap-south-1,0.0,0.0
a1.large,ap-southeast-1,0.0,0.0
a1.large,ap-southeast-2,0.0,0.0
a1.large,eu-central-1,0.0,0.0
a1.large,eu-west-1,0.0,0.0
a1.large,us-east-1,0.0,0.0
a1.large,us-east-2,0.0,0.0
a1.large,us-west-2,0.03931404494087806,0.0
a1.medium,ap-northeast-1,0.0,0.0
a1.medium,ap-south-1,0.0,0.0
a1.medium,ap-southeast-1,0.0,0.0
a1.medium,ap-southeast-2,0.0,0.0
a1.medium,eu-central-1,0.0,0.0
a1.medium,eu-west-1,0.0,0.0
a1.medium,us-east-1,0.0,0.0
a1.medium,us-east-2,0.0,0.0
a1.medium,us-west-2,0.0,0.0
a1.metal,ap-northeast-1,0.0,0.0
a1.metal,ap-south-1,0.0,0.0
a1.metal,ap-southeast-1,0.0,0.0
a1.metal,ap-southeast-2,0.0,0.0
a1.metal,eu-central-1,0.0,0.0
a1.metal,eu-west-1,0.0,0.0
a1.metal,us-east-1,0.0,0.0
a1.metal,us-east-2,0.0,0.0
a1.metal,us-west-2,0.0,0.0
a1.xlarge,ap-northeast-1,0.0,0.0
a1.xlarge,ap-south-1,0.0,0.0
a1.xlarge,ap-southeast-1,0.0,0.0
a1.xlarge,ap-southeast-2,0.0,0.0
a1.xlarge,eu-central-1,0.0,0.0
a1.xlarge,eu-west-1,0.0,0.0
a1.xlarge,us-east-1,0.0,0.0
a1.xlarge,us-east-2,0.0,0.0
a1.xlarge,us-west-2,0.0,0.0
c1.medium,ap-northeast-1,0.4255479444409147,0.0
c1.medium,ap-southeast-1,0.5000967773163035,0.0
c1.medium,ap-southeast-2,0.0,0.0
c1.medium,eu-west-1,0.0,0.0
c1.medium,sa-east-1,0.5000967773163035,0.0
c1.medium,us-east-1,0.0,0.0
c1.medium,us-west-1,0.0,0.0
c1.medium,us-west-2,0.0,0.0
c1.xlarge,ap-northeast-1,0.3740246138267202,0.0
c1.xlarge,ap-southeast-1,0.5000967773163035,0.0
c1.xlarge,ap-southeast-2,0.0,0.0
c1.xlarge,eu-west-1,0.0,0.0
c1.xlarge,sa-east-1,0.47355517949646286,0.0
c1.xlarge,us-east-1,0.0,0.0
c1.xlarge,us-west-1,0.0,0.0
c1.xlarge,us-west-2,0.0,0.0
c3.2xlarge,ap-northeast-1,0.0,0.0
c3.2xlarge,ap-southeast-1,0.0,0.0
c3.2xlarge,ap-southeast-2,0.0,0.0
c3.2xlarge,eu-central-1,0.0,0.0
c3.2xlarge,eu-west-1,0.0,0.0
c3.2xlarge,sa-east-1,0.0,0.0
c3.2xlarge,us-east-1,0.31787847948562753,0.0
c3.2xlarge,us-west-1,0.0,0.08643208224324483
c3.2xlarge,us-west-2,0.0,0.0
c3.4xlarge,ap-northeast-1,0.0,0.0
c3.4xlarge,ap-southeast-1,0.0,0.0
c3.4xlarge,ap-southeast-2,0.0,0.11176970124808686
c3.4xlarge,eu-central-1,0.0,0.0
c3.4xlarge,eu-west-1,0.0,0.0
c3.4xlarge,sa-east-1,0.0,0.0
c3.4xlarge,us-east-1,0.3464436812933801,0.0
c3.4xlarge,us-west-1,0.0,0.0
c3.4xlarge,us-west-2,0.0,0.0
c3.8xlarge,ap-northeast-1,0.0,0.07555124969486544
c3.8xlarge,ap-southeast-1,0.08599483948247222,0.0
c3.8xlarge,ap-southeast-2,0.204536956591646,0.0
c3.8xlarge,eu-central-1,0.07766196519033988,0.0
c3.8xlarge,eu-west-1,0.0,0.0
c3.8xlarge,sa-east-1,0.18594744145703954,0.0
c3.8xlarge,us-east-1,0.3464436812933801,0.0
c3.8xlarge,us-west-1,0.2823712838064621,0.0
c3.8xlarge,us-west-2,0.009273580474691715,0.0
c3.large,ap-northeast-1,0.0,0.0
c3.large,ap-southeast-1,0.0,0.0
c3.large,ap-southeast-2,0.0,0.134186576584234
c3.large,eu-central-1,0.0,0.0899492659847748
c3.large,eu-west-1,0.0,0.0
c3.large,sa-east-1,0.0,0.0
c3.large,us-east-1,0.06636184033141364,0.0
c3.large,us-west-1,0.0,0.0
c3.large,us-west-2,0.0,0.0
c3.xlarge,ap-northeast-1,0.0,0.0
c3.xlarge,ap-southeast-1,0.0,0.10975742205300883
c3.xlarge,ap-southeast-2,0.0,0.0
c3.xlarge,eu-central-1,0.0,0.14409192105280885
c3.xlarge,eu-west-1,0.0,0.0
c3.xlarge,sa-east-1,0.0,0.0
c3.xlarge,us-east-1,0.06109401443715323,0.0
c3.xlarge,us-west-1,0.0,0.0
c3.xlarge,us-west-2,0.0,0.0
c4.2xlarge,ap-northeast-1,0.0,0.11176970124808686
c4.2xlarge,ap-northeast-2,0.0,0.0
c4.2xlarge,ap-northeast-3,0.0,0.0
c4.2xlarge,ap-south-1,0.0,0.0
c4.2xlarge,ap-southeast-1,0.0,0.0
c4.2xlarge,ap-southeast-2,0.0,0.0
c4.2xlarge,ca-central-1,0.0,0.0
c4.2xlarge,eu-central-1,0.0,0.0
c4.2xlarge,eu-west-1,0.0,0.0
c4.2xlarge,eu-west-2,0.0,0.0
c4.2xlarge,sa-east-1,0.0,0.10392868044366428
c4.2xlarge,us-east-1,0.0,0.0
c4.2xlarge,us-east-2,0.0,0.08994346261911279
c4.2xlarge,us-west-1,0.0,0.0
c4.2xlarge,us-west-2,0.0,0.0
c4.4xlarge,ap-northeast-1,0.0,0.0
c4.4xlarge,ap-northeast-2,0.0906622097689828,0.1407533978546454
c4.4xlarge,ap-northeast-3,0.0,0.09381243512399177
c4.4xlarge,ap-south-1,0.0,0.0
c4.4xlarge,ap-southeast-1,0.0,0.1961331857722292
c4.4xlarge,ap-southeast-2,0.16776858713941536,0.0
c4.4xlarge,ca-central-1,0.20061452959980325,0.0
c4.4xlarge,eu-central-1,0.009273580474691715,0.0
c4.4xlarge,eu-west-1,0.0,0.0
c4.4xlarge,eu-west-2,0.10929175664244166,0.0
c4.4xlarge,sa-east-1,0.041883065104707,0.0
c4.4xlarge,us-east-1,0.0,0.0
c4.4xlarge,us-east-2,0.04102487774216111,0.0
c4.4xlarge,us-west-1,0.0,0.0
