instance,region,score
r6in.12xlarge,ap-southeast-1,0.07100149917490903
c6in.2xlarge,ap-south-1,0.07096131253162052
r7g.metal,ap-northeast-1,0.07094543486454088
m6in.12xlarge,ap-northeast-1,0.0706812694578064
r6idn.4xlarge,eu-central-1,0.07059525162940636
c5a.24xlarge,ap-northeast-2,0.07046548837642239
r7a.48xlarge,ap-northeast-1,0.07046010146081613
m6in.metal,us-west-1,0.07039032066342768
inf2.8xlarge,eu-west-3,0.07039032066342768
r6g.16xlarge,eu-central-1,0.07033088820177485
m5dn.8xlarge,us-west-2,0.07016147929164203
m6idn.xlarge,ap-southeast-1,0.06996382692543829
m7i.2xlarge,ap-northeast-2,0.06978841143705228
c5n.9xlarge,ap-northeast-2,0.0695731488828554
m5ad.12xlarge,us-east-1,0.06933572068501599
r7a.24xlarge,eu-north-1,0.06913260581413452
m6gd.medium,sa-east-1,0.06905097216372583
m7i.metal-48xl,eu-west-3,0.06829357948179055
m6i.24xlarge,ap-northeast-2,0.06752769541730823
g6.2xlarge,us-east-1,0.06737934014718751
m6in.24xlarge,eu-west-1,0.06735204077367819
c6i.metal,ap-northeast-2,0.06730967947538279
c6in.metal,ap-northeast-1,0.06652186700505708
r6a.32xlarge,ap-northeast-1,0.06631735693174277
c6id.metal,sa-east-1,0.06616486771023636
m6in.16xlarge,us-east-2,0.06614817427401254
m6i.metal,sa-east-1,0.065872281969797
g6.48xlarge,eu-north-1,0.06572211122660492
g4dn.12xlarge,sa-east-1,0.06571118090832319
r6idn.2xlarge,ap-northeast-1,0.06570635999204338
m6a.48xlarge,eu-west-2,0.0652178491339066
c7i.48xlarge,ap-northeast-1,0.06521646481266251
m6id.12xlarge,ap-southeast-1,0.06514880367139339
r6id.32xlarge,eu-west-1,0.06510395061396634
r7a.48xlarge,eu-north-1,0.06504433340929588
c5a.12xlarge,sa-east-1,0.06468999262632108
c6gd.8xlarge,sa-east-1,0.06464151421305252
m6idn.32xlarge,us-east-2,0.06435761238606713
c7gd.16xlarge,eu-west-1,0.06410015906614859
r6g.metal,us-west-2,0.06407057575669413
c6i.metal,ap-south-1,0.06376513928243077
c7gn.4xlarge,us-west-2,0.0636744599308755
r7i.metal-48xl,ap-southeast-2,0.06354164206715274
c7gn.metal,us-east-1,0.0635265349763378
c7i.xlarge,eu-west-3,0.06345439953265836
c8g.metal-48xl,us-east-1,0.0632346486775985
c6id.metal,ap-northeast-1,0.0632346486775985
c8g.48xlarge,us-east-1,0.0632346486775985
r5n.metal,ap-northeast-2,0.06286394198698292
x2iedn.4xlarge,eu-west-1,0.06281151128664408
x2iedn.24xlarge,us-east-1,0.06279742053877098
c6gd.metal,sa-east-1,0.06271886123164129
r6id.12xlarge,ap-southeast-2,0.0626636215238144
r6idn.2xlarge,eu-central-1,0.0626141532721532
inf2.8xlarge,ap-northeast-1,0.06251982386476547
c6gd.metal,eu-north-1,0.06241618294356065
c7i.metal-48xl,ap-southeast-2,0.06231860073872929
m6idn.32xlarge,ap-northeast-1,0.06222062460863839
m6in.metal,us-east-1,0.061952922544418844
r6i.metal,eu-north-1,0.06190814455045628
r6g.metal,eu-north-1,0.061484831103745814
r7i.metal-48xl,sa-east-1,0.06132515951957441
r6g.8xlarge,eu-west-2,0.06094914436167532
m6i.32xlarge,ap-northeast-3,0.0609087519298239
r6i.metal,ap-northeast-2,0.060808573332570386
r6a.48xlarge,eu-west-1,0.060612982795042486
r7i.xlarge,ap-northeast-2,0.060467785196470565
r7gd.medium,us-east-1,0.06044595733569624
c5d.24xlarge,ca-central-1,0.06020182510341897
m7a.48xlarge,eu-central-1,0.06004432975928828
m5dn.metal,us-west-2,0.05985203524161296
m6gd.12xlarge,us-east-1,0.059672939927563305
